	STAS	SWHAS104	22_MC_Drinkingwater_source_90.100	23_MC_Drinkingwater_tap_90.100	49_Drinkingwater_influent_winter_90.100	50_Drinkingwater_effluent_winter_90.100	51_Drinkingwater_influent_summer_90.100	52_Drinkingwater_influent_summer_90.100	53_Drinkingwater_effluent_summer_90.100	30_ST_effluent_summer_90.100	31_ST_effluent_winter_90.100	32_ST_influent_summer_90.100	33_ST_influent_winter_90.100	13_ST_ADS_90.100	14_SWT_ADS_90.100	1_ST_AS_0707_90.100	2_ST_AS_0801_90.100	37_ST_AS_foaming_90.100	38_ST_AS_foaming_control_90.100	4_ST_AS_0901_90.100	54_Stanley_AS_90.100	55_Stanley_AS_90.100	56_ST_ADS_March_90.100	57_SWH_ADS_March_90.100	58_SWH_ADS_March_90.100	5_ST_AS_0907_90.100	6_ST_AS_1001_90.100	7_ST_AS_1007_90.100	8_ST_AS_1101_90.100	24_Sediment_fishpond_LWT_90.100	25_Sediment_fishpond_ST_90.100	26_Sediment_fishpond_YTT_90.100	ARG_72_90.100	ARG_73_90.10	ARG_74_90.100	ARG_75_90.100	ARG_76_90.100	ARG_77_90.100	ARG_78_90.100	ARG_79_90.100	ARG_80_90.100	ARG_81_90.100	ARG_82_90.100	ARG_83_90.100	Ocean_1_1_90-100	Ocean_1_2_90-100	Ocean_1_3_90-100
aminoglycoside__ant(4')-Ia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.80E-05	0	0	0	0	0
aminoglycoside__ant(9)-I	0	0	0	0	0	0	0	0	0	8.98E-05	0	0.00012854	0.000374439	0	0.001999896	0	0	0	0	4.55E-05	0	0	0	0.003836303	0.003358259	2.54E-05	0	5.03E-05	0	0	0	0	0.005452269	0.003670194	0.0033898	0.023548675	0.020047967	0.022524583	0.045986609	0.003336772	0.0041267	0.004853378	0.010695984	0.012383275	0	0	0
aminoglycoside__aph(2'')-II	0	0	0	0	0	0	0	0	0	0	0	0.000208071	0.000707135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009567644	0.00563162	0.002643209	0.00096701	0.000803652	0.000773623	0.001536492	4.91E-05	0	0	0.000152851	0.000155175	0	0	0
aminoglycoside__aph(2'')-III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.96E-05	0	3.27E-05	0	3.74E-05	0	0.013696463	0.000239899	0.00018013	0	5.97E-05	0	0	0	0
aminoglycoside__aph(2'')-IV	0	0	0	0	0	0	0	0	0	0	0	0.000103344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000160661	0	0	0	0	0	0	0	0
aminoglycoside__aph(2'')-Ie	0	0	0	0	0	0	0	0	0	0	0	0.000616688	9.87E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.48E-05	0.000151678	3.27E-05	3.05E-05	0	6.57E-05	0.000642208	7.32E-05	0	0	0	5.14E-05	0	0	0
aminoglycoside__aph(3''')-III	0	0	0	0	0	0	0	0	0	0.000123444	0	0.003420159	0.004124519	0.00019647	0	4.67E-05	8.44E-05	0	0	4.17E-05	0	0	0	8.38E-05	6.17E-05	0	0	0	4.44E-05	0	0	0	0.243721746	0.170167855	0.546582394	0.179325604	0.16596694	0.171526733	0.183870897	0.035838572	0.005574566	0.006563554	0.007380922	0.007736702	0	0	0
aminoglycoside__aph(3'')-I	0	0	0	0	0	0	0	0	0	0.005396738	0.001266109	0.204035133	0.100335579	0.001723337	0.002003356	0.004030844	0.004771545	0.010615103	0.003585922	0.002726901	0.000680364	0.000539857	0.000743107	0.001481212	0.001650511	0.002177822	0.002497759	0.00199413	0.001133261	0	0	0	0.009596534	0.007312314	0.007525617	0.001073906	0.001001982	0.000966402	0.06478208	0.025999881	0.00940531	0.015463713	0.30222463	0.333216159	0	0.00E+00	0
aminoglycoside__aph(3'')-IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.13E-04	0
aminoglycoside__aph(3')-I	0	0	0	0	0.000145303	0	0	0	0	4.63E-05	0	0.004332528	0.006528145	0	0	0	4.27E-05	0	0.000167406	3.30E-05	0	0	5.40E-05	0	0	2.40E-05	2.32E-05	7.25E-05	8.90E-05	0	0	0	0.004413142	0.003619004	0.002735899	0.000813626	0.000567239	0.000903867	0.038925892	0.005160845	0.005496864	0.005760397	0.046160145	0.048881777	0	0.00E+00	0
aminoglycoside__aph(3')-IIb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.84E-05	0	0	0	0	0	6.01E-05	2.74E-05	3.44E-05	3.63E-05	0.002835547	0.003755138	0	0.00E+00	0
aminoglycoside__aph(3')-V	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(3')-VII	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.58E-05	0	0	0	0	3.89E-05	3.66E-05	6.19E-05	0	0	0
aminoglycoside__aph(4)-I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00068983	0.000624032	0.000176024	0	6.71E-05	5.90E-05	0.00316721	0.000107638	0.000565745	0.000370768	0.001554686	0.000453542	0	0	0
aminoglycoside__aph(6)-I	0	0	8.17E-05	0	0.000221978	0.00028286	0	0	0	0.003820961	0.000759632	0.185982947	0.083626463	0.00236623	0.001437063	0.003045622	0.003680351	0.007251108	0.006201325	0.002049441	0.000223866	0.000497726	0.000660645	0.000866476	0.000932068	0.001693904	0.001543346	0.002069729	0.001324273	0	0	0	0.008152681	0.005624805	0.005172756	0.000787712	0.000842984	0.00078481	0.055350066	0.020774122	0.008292341	0.01171797	0.277013366	0.290767029	0	0	0
aminoglycoside__bifunctional aminoglycoside N-acetyltransferase and aminoglycoside phosphotransferase	0	0	0	0	0	0	0	0	0	0	0	0.022754375	0.013368166	0.000212599	9.98E-05	0.00015396	0.000173878	0	0	0.000103216	1.77E-05	0	1.94E-05	0	0	0.000141088	0.000136652	1.27E-05	0.000231535	0	0	0	0.042060088	0.071049074	0.027617174	0.00085295	0.000952027	0.001895245	0.043019257	0.000562548	0.078035174	0.063703233	0.012661754	0.009978334	0	0	0
aminoglycoside__rmtA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__rmtB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000219601	0.000309977	0.000182081	0.000123233	0	0	0
aminoglycoside__rmtC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__rmtD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__rmtF	0	0	0	0	0	0	0	0	0	0	0	0.000240205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.20E-05	0.000132538	0.000116492	0.000155595	0	0	0	0	0	0	0	0
aminoglycoside__rmtG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__streptomycin resistance protein	0	0	0	0	0	0	0	0	0	0	0	0.000220614	0.000214218	0	0	0	0	0	0	0	0	0	0	5.23E-05	0	0	0	0	0	0	0	0	0.000403624	0.000131233	0.000141901	0	0	0	0.005344647	2.60E-05	0.000618957	0.000206926	0.003468197	0.002851848	0	0	0
aminoglycoside__streptothricin acetyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000220688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__tunicamycin resistance protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__viomycin phosphotransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacitracin__bacA	0.0395080528786514	0.0354070672112547	0.008506205	0.00359491	0.051841018	0.001196281	0.010072426	0.010479607	0.000488973	0.007298106	0.008511109	0.13528602	0.154178029	0.005317159	0.007165096	0.010347922	0.010539502	0.057384797	0.070275449	0.010366165	0.010292945	0.010539416	0.005168546	0.008624167	0.008914864	0.009901957	0.00871911	0.007366595	0.008624957	0.000325991	0.007435527	0.000485815	0.014771762	0.025601465	0.012741398	0.020062707	0.018966141	0.018128816	0.039979193	0.025168039	0.027113629	0.027909319	0.113206047	0.127880488	0.000446932	0.000751222	0.002912337
bacitracin__bcrA	0	0	0.000487702	0	0.008197918	2.31E-05	0.000906817	0.001652296	0	0.000417823	0.000388896	0.008035477	0.014374453	0.000675547	0.000470733	0.000534768	0.000737014	0.005539875	0.004126349	0.000711129	0.000464478	0.000500653	0.000540605	0.000475631	0.00070752	0.000993822	0.00094266	0.001097502	0.00081282	0.000179966	0.000682251	0.000970452	0.003499548	0.003442383	0.001434339	0.002433411	0.001961762	0.001878229	0.003136201	0.000491046	0.015651703	0.01503169	0.003693735	0.001767525	0	0	0
bacitracin__bcrC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-13	0	0	0	0	0	0	0	0	0	0	0	0.000163289	0.000317111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-16	0	0	0	0	0	0	0	0	0	0	0	0	0.000158973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-20	0	0	0	0	0	0	0	0	0	0	0	8.16E-05	0.000475666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-5	0	0	0	0	0	0	0	0	0	0	0	8.16E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__AER-1	0	0	0	0	0	0	0	0	0	0.000393073	6.57E-05	0.002046487	0.000794863	0	0.000238803	0	0	0.000548816	0.000298468	0	0	6.86E-05	0	0.000242373	0.000106934	0	0	2.00E-05	3.86E-05	0	0	0	0	0	0	0	3.76E-05	0	0.0025187	0.002342326	6.04E-05	0	0	0	0	0	0
beta-lactam__BEL-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__BEL-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CARB-12	0	0	0	0	0	0	0	0	0	3.77E-05	3.47E-05	0.001296108	0.002936576	0	0	2.14E-05	0	0.000289653	0	3.83E-05	0	0	0	2.56E-05	0	0	6.20E-05	0	0	0	0	0	5.27E-05	3.21E-05	3.47E-05	0	0	0	0.000811581	0.000203914	3.19E-05	3.38E-05	0.000317378	0.000429605	0	0	0
beta-lactam__CARB-3	0	0	0	0	0	0	0	0	0	7.15E-05	0	0.000102324	0.000496789	0	0	0	1.83E-05	0	0.000149234	0	0	0	0	0	0	0	1.96E-05	0	0	0	0	0	0	0	0	0	0	0	0.000477227	4.83E-05	0	0	0.000180404	0.000203497	0	0	0
beta-lactam__CARB-5	0	0	0	0	0	0	0	0	0	0	0	0.000939461	0.007905949	8.70E-05	0	0	0	0	0	3.70E-05	0	0	3.11E-05	2.47E-05	2.73E-05	0	3.99E-05	0	3.94E-05	0	0	0	0.000331026	0.000124187	0.000134282	0	0	0	0.000703208	0	0	0	0.000460091	0.000726581	0	0	0
beta-lactam__CARB-6	0	0	0	0	0	0	0	0	0	3.77E-05	0.000138719	0.001296108	0.003041453	0	0	0	0	0.000579305	0.000315049	7.65E-05	0	0	0	7.68E-05	0	0	4.13E-05	2.11E-05	6.11E-05	0	0	0	0.000237129	9.64E-05	0	0	7.95E-05	0	0.002630643	0.000305871	0.000127592	0.000135077	0.001523414	0.001020313	0	0	0
beta-lactam__CARB-7	0	0	0	0	0	0	0	0	0	0.000150877	6.94E-05	0.000864072	0.001887799	0	0	6.41E-05	1.93E-05	0.004924097	0.002205346	3.83E-05	0	0	0	0	0	2.14E-05	8.26E-05	0.000274928	0.000162981	0	0	0	0	0	0	0	0	0	0	0	0	0	6.35E-05	0	0	0	0
beta-lactam__CARB-8	0	0	0	0	0	0	0	0	0	0	0	0	0.002229883	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00E-05	0	0	0	0	0	2.55E-05	3.10E-05	0	0	0	0	0.000135232	2.46E-05	0	0	3.07E-05	5.19E-05	0	0	0
beta-lactam__CARB-9	0	0	0	0	0	0	0	0	0	3.77E-05	3.47E-05	0.000216018	0.002097554	0	0	6.41E-05	0	0.003331006	0.001260198	1.91E-05	0	0	0	0	0	2.14E-05	0	0.000105741	0.000183354	0	0	4.53E-05	0	0	0	0	0	0	0	0	0	0	6.35E-05	0.000107401	0	0	0
beta-lactam__CAZ-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CAZ-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CAZ-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CFE-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.11E-05	7.20E-05	4.06E-05	0	0	0
beta-lactam__CGB-1	0	0	0.000207199	0	0.0002816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.60E-05	0.000121778	0	0	0
beta-lactam__CMY-103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.80E-05	4.06E-05	0	0	0
