	STAS	SWHAS104	22_MC_Drinkingwater_source_90-100	23_MC_Drinkingwater_tap_90-100	49_Drinkingwater_influent_winter_90-100	50_Drinkingwater_effluent_winter_90-100	51_Drinkingwater_influent_summer_90-100	52_Drinkingwater_influent_summer_90-100	53_Drinkingwater_effluent_summer_90-100	30_ST_effluent_summer_90-100	31_ST_effluent_winter_90-100	32_ST_influent_summer_90-100	33_ST_influent_winter_90-100	13_ST_ADS_90-100	14_SWT_ADS_90-100	1_ST_AS_0707_90-100	2_ST_AS_0801_90-100	37_ST_AS_foaming_90-100	38_ST_AS_foaming_control_90-100	4_ST_AS_0901_90-100	54_Stanley_AS_90-100	55_Stanley_AS_90-100	56_ST_ADS_March_90-100	57_SWH_ADS_March_90-100	58_SWH_ADS_March_90-100	5_ST_AS_0907_90-100	6_ST_AS_1001_90-100	7_ST_AS_1007_90-100	8_ST_AS_1101_90-100	24_Sediment_fishpond_LWT_90-100	25_Sediment_fishpond_ST_90-100	26_Sediment_fishpond_YTT_90-100	ARG_72_90-100	ARG_73_90-10	ARG_74_90-100	ARG_75_90-100	ARG_76_90-100	ARG_77_90-100	ARG_78_90-100	ARG_79_90-100	ARG_80_90-100	ARG_81_90-100	ARG_82_90-100	ARG_83_90-100	Ocean_1_1_90-100	Ocean_1_2_90-100	Ocean_1_3_90-100
aminoglycoside__aac(6')-I	0	0.0879120879120879	0	0	0.000597469	0	0	0.000664459	0	0.000776039	0.00156709	0.003913631	0.00508896	0.001598929	0.000701425	0.000818703	0.000231315	0	0	0.000411435	0	0.000482304	0	0.001037311	0.0014478	0.00088275	0.000413556	0	0	0	0	0	0.02625512	0.003869864	0.004052079	0.00136194	0.002596766	0.00236419	0.046728177	0.048712434	0.001765486	0.002814739	0.015777319	0.017920709	0	0	0
aminoglycoside__aac(6')-II	0	0	0	0	0	0	0.00031989	0.000372748	0	0.000542561	0	0.000487464	0.001076745	0	0	0	0	0	0	0.000394266	0.000440193	0	0	0.000420397	0.000226449	0	0	0	0	0	0	0	0.001589738	0.000394391	0.000114319	0	0	0	0.021986063	0.021463529	0.001326813	0.001539797	0.160221091	0.184467191	0	0	0
aminoglycoside__aad(6)	0	0	0	0	0	0	0	0	0	0	0	0.000324976	0.000931014	0.000576425	0.001021641	0	0	0.000442508	0	0.000413551	0	0	0	0.001961855	0.000754831	0	0.000286502	0	0.0005097	0	0	0	0.016832519	0.013212086	0.010136284	0.01146747	0.01119427	0.01378611	0.013209552	0.002942524	0.003259581	0.003415019	0.002520112	0.002447673	0	0	0
aminoglycoside__aad(9)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001458536	0.000630728	0.000242708	0	0	0	0.013824006	0.000173533	0.001385425	0.000712641	0.001777008	0.00140724	0	0	0
aminoglycoside__aadA	0	0.122142783739742	0.001037405	0	0.002477112	0.000541481	0.000411852	0.000627981	0	0.046662628	0.036955672	0.039778954	0.039032161	0.016493234	0.016505148	0.03951042	0.040143572	0.012412531	0.006632746	0.02948669	0.01262571	0.011619687	0.007292525	0.014091762	0.014178532	0.022620355	0.02483044	0.012078793	0.010735885	0	0.000808466	0	0.045556654	0.045582024	0.053246279	0.002778727	0.001457701	0.002503382	0.140480951	0.264015991	0.011167774	0.011985466	0.265447698	0.268852497	0	0	0.002630606
aminoglycoside__aadB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000102497	0.00011884	0	0	0	0.000477634	0	5.08E-05	0	0.006347921	0.006705033	0	0	0
aminoglycoside__aadD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008400107	0.003067921	0.001510222	6.61E-05	0.000231236	0	0.053522388	0.002346111	0.002132961	0.001746844	0.003095214	0.001473221	0	0	0
aminoglycoside__aadE	0	0	0	0	0	0	0	0	0	0.000887279	0.001995312	0.011048215	0.021252171	0.001675043	0.015046777	0.001028147	0.003118887	0.000212035	0.000939794	0.004394192	0.000568389	0	0.002784458	0.024363325	0.02039338	0	0.003333548	0.001179757	0.006248645	0	0	0	0.334268036	0.325774451	0.214344159	0.243242349	0.232925921	0.258660822	0.197961727	0.039499809	0.136904693	0.085585054	0.036241326	0.030337356	0	0	0
aminoglycoside__aadK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.67E-05	7.54E-05	6.43E-05	0	0	0
aminoglycoside__ant(2'')-I	0	0	0	0	0	0	0	0.000319003	0	0.002209541	0.002549213	0.000850648	0.001047182	0	0.001278264	0.001145039	0.000813368	0	0	0.000836479	0.000376723	0	0	0.000359782	0	0.000658124	0.000183894	0.000225648	0.000406427	0	0	0	0.001458681	0.001465879	0.001034598	0	0	0	0.010152555	0.005968599	0.001611526	0.001430923	0.150613101	0.177666542	0	0	0
aminoglycoside__ant(3'')-Ih-aac(6')-IId	0	0	0	0	0	0	0	0	0	0	0.000223554	0.000387444	0.000158568	0	0.000304507	0	0	0	0	0	0	0.000207297	0	0.000417674	0.000359971	0	0	0	0	0	0	0	0.00011149	0	0	0	0	0	0.000273891	0.000487243	1.94E-05	1.74E-05	0.00087825	0.000867566	0	0	0
aminoglycoside__ant(4')-IIa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__ant(4')-Ia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__ant(9)-I	0	0	0	0	0	0	0	0	0	0.000211187	0	9.27E-05	0.000227532	0	0.011069189	0	0	0	0	0.000314435	0	0	0	0.019498105	0.016528926	0.000184347	0	0.000400946	0	0	0	0	0.006533043	0.002923706	0.00391141	0.023373146	0.017968396	0.023113537	0.057022685	0.00997459	0.004004093	0.003820465	0.011603554	0.014468325	0	0	0
aminoglycoside__aph(2'')-II	0	0	0	0	0	0	0	0	0	0	0	0.000224983	0.000245542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018817893	0.00509674	0.003236107	0.001205263	0.00102056	0.00117287	0.001378388	7.54E-05	0	0	0.000107366	0.000122129	0	0	0
aminoglycoside__aph(2'')-III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000112461	0	6.87E-05	0	6.23E-05	0	0.017647271	0.000737234	0.000176401	0	6.99E-05	0	0	0	0
aminoglycoside__aph(2'')-IV	0	0	0	0	0	0	0	0	0	0	0	7.45E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000210651	0	0	0	0	0	0	0	0
aminoglycoside__aph(2'')-Ie	0	0	0	0	0	0	0	0	0	0	0	0.000444543	6.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72E-05	0.000178847	0	0	0	0.000114604	0.00091282	0.000224844	0	0	0	6.07E-05	0	0	0
aminoglycoside__aph(3'')-I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(3'')-IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(3')-I	0	0	0	0	0	0	0	0	0	0.012255683	0.005571356	0.158251438	0.066160512	0.012246506	0.012000393	0.02974725	0.036223466	0.014871378	0.004990157	0.016444408	0.005568776	0.004949886	0.003708528	0.007103109	0.006858135	0.014595517	0.016942263	0.01529501	0.010127949	0	0	0	0.08272768	0.102047675	0.052349841	0.003550426	0.003391447	0.004949928	0.177775713	0.095053779	0.081827078	0.064620941	0.410360057	0.450443996	0	0.000521705	0
aminoglycoside__aph(3')-III	0	0	0	0	0	0	0	0	0	0.000290382	0	0.002465439	0.00250631	0.001205253	0	0.000373005	0.000662402	0	0	0.000288232	0	0	0	0.000440064	0	0	0	0	0.000355245	0	0	0	0.546779619	0.329688726	1.13593281	0.298157848	0.273876337	0.295664707	0.237796455	0.108252481	0.005254696	0.005283864	0.008519261	0.008926173	0	0	0
aminoglycoside__aph(3')-IIb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(3')-V	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(3')-VII	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.22E-05	4.28E-05	7.30E-05	0	0	0
aminoglycoside__aph(4)-I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001614693	0.001330056	0.000370112	0	0.000111858	0.000102841	0.004431592	0.000330782	0.000527651	0.000330742	0.001820074	0.000535435	0	0	0
aminoglycoside__aph(6)-I	0	0	0	0	0	0	0	0	0	0.008421705	0.00332782	0.125403119	0.047910679	0.01259668	0.008082397	0.022739944	0.026400926	0.010076215	0.008398497	0.012953719	0.002029124	0.004090656	0.003420204	0.004293751	0.004695858	0.011797071	0.009799038	0.015834947	0.010234459	0	0	0	0.017383194	0.010079918	0.010233394	0.001279557	0.001167042	0.001320594	0.068144567	0.059414483	0.007688406	0.009161593	0.30573326	0.322242068	0	0	0
aminoglycoside__bifunctional aminoglycoside N-acetyltransferase and aminoglycoside phosphotransferase	0	0	0	0	0	0	0	0	0	0	0	0.001598406	0.000822391	0.000648038	0	0.000100278	8.90E-05	0	0	7.75E-05	0	0	0	0	0	9.09E-05	0	0	9.55E-05	0	0	0	0.006763481	0.01093691	0.003341561	3.19E-05	3.88E-05	0.000249981	0.006801171	0.000275674	0.009912579	0.006694143	0.001656333	0.001710555	0	0	0
aminoglycoside__phoP	0.159071882533421	0.0333333333333333	0.000742587	0	0.000274093	0	0.000503075	0	0.000351644	0.002024918	0.002052945	0.038637749	0.023330887	0.003399432	0.001205013	0.002946688	0.002247865	0.001080049	0.000858337	0.001796417	0	0.000410165	0.00045114	0.000992422	0.001068376	0.002706717	0.00203431	0.001885511	0.001612035	0.002873036	0.000384164	0.000559691	0.005997628	0.008266947	0.00596516	0.010176106	0.010362191	0.008767204	0.015400504	0.000200528	0.028231381	0.026023251	0.103620051	0.117790505	0.000637	0.000733508	0
aminoglycoside__phoQ	0	0	0	0	0	0	0	0	0	0.000577512	0.001595577	0.009815716	0.012688068	0	0.000288907	0	9.76E-05	0.00012565	0	0	0	0	0.000216787	0	0	0	0.000162705	0.000300092	0.000289663	0	0.000184997	0	0.002867763	0.005673955	0.004457793	0	0	7.22E-05	0.000743079	0	0.000629229	0.000712666	0.097363204	0.110527358	0	0	0
aminoglycoside__rmtA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__rmtB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000250897	0.000192572	0.000213163	0.000145485	0	0	0
aminoglycoside__rmtC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__rmtD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__rmtF	0	0	0	0	0	0	0	0	0	0	0	0.000173153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000120992	0.000220908	0.000135401	0.000163207	0	0	0	0	0	0	0	0
aminoglycoside__rmtG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__streptomycin resistance protein	0	0	0	0	0	0	0	0	0	0	0	0.000166766	0.000130172	0	0	0	0	0	0	0	0	0	0	0.000287643	0	0	0	0	0	0	0	0	0.000950856	0.000263591	0.000298364	0	0	0	0.007140456	8.00E-05	0.000592861	0.000171403	0.004124601	0.003402808	0	0	0
aminoglycoside__streptothricin acetyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__tunicamycin resistance protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__viomycin phosphotransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacitracin__bacA	0.0999023809354273	0.17341070473071	0.030210369	0.000847405	0.047390101	0.002794934	0.031473896	0.02412453	0.001750311	0.004948768	0.016032054	0.039066551	0.049597827	0.009044644	0.010702287	0.020974254	0.019061692	0.019650754	0.024049613	0.016008674	0.023247391	0.024093448	0.005416456	0.015076699	0.011423134	0.025107871	0.014291285	0.020223078	0.019311073	0.001138047	0.024729519	0.000442458	0.007516015	0.015234782	0.009198514	0.004178963	0.004390591	0.005237482	0.014864164	0.0214473	0.002256424	0.003584288	0.116953566	0.135127138	0.001092	0.00119069	0.006371408
bacitracin__bcrA	0.179989944695827	0.127759279812554	0	0	0	0	0	0	0	0.000163866	0	0.000564109	0.001047975	0	0	0	0.00013748	0	0	0	0	0	0	0	0	0.000140289	0.000253538	0	0	0	0	0	0.000543209	0.00062979	6.87E-05	0	6.23E-05	0	3.45E-05	0	0.000145891	0.000104313	0.0008274	0.000119335	0	0	0
bacitracin__bcrC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-13	0	0	0	0	0	0	0	0	0	0	0	0.000235416	0.000337218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-16	0	0	0	0	0	0	0	0	0	0	0	0	9.66E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-19	0	0	0	0	0	0	0	0	0	0	0	5.89E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-2	0	0	0	0	0	0	0	0	0	0	0.000135834	0	9.63E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-20	0	0	0	0	0	0	0	0	0	0	0	5.89E-05	0.000337218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-5	0	0	0	0	0	0	0	0	0	0	0	5.89E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__AER-1	0	0	0	0	0	0	0	0	0	0.000588406	0.000340479	0.001327698	0.000362255	0	0.001391314	0	0	0.000803501	0.000440463	0	0	0.000315719	0	0.001272256	0.000548246	0	0	0	0	0	0	0	0	0	0	0	6.27E-05	0	0.003302388	0.006901381	5.92E-05	0	0	0	0	0	0
beta-lactam__BEL-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__BEL-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CARB-12	0	0	0	0	0	0	0	0	0	8.87E-05	0	0.000856447	0.001019682	0	0	0	0	0.000212035	0	0.000132106	0	0	0	0.000134294	0	0	0.000137282	0	0	0	0	0	0.00011949	6.30E-05	7.30E-05	0	0	0	0.001064103	0.000626649	3.12E-05	2.80E-05	0.000371555	0.000443779	0	0	0
beta-lactam__CARB-3	0	0	0	0	0	0	0	0	0	0	0	7.38E-05	0.000241504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000486668	7.42E-05	0	0	0.000176	0.000120121	0	0	0
beta-lactam__CARB-5	0	0	0	0	0	0	0	0	0	0	0	0.000601969	0.004003448	0.000533871	0	0	0	0	0	0.000127673	0	0	0.000177503	0	0	0	0.000265351	0	0.000314714	0	0	0	0.000692882	0.000243516	0.000282345	0	0	0	0.000780161	0	0	0	0.000430904	0.000428887	0	0	0
beta-lactam__CARB-6	0	0	0	0	0	0	0	0	0	0	0.000539092	0.00070073	0.001210872	0	0	0	0	0.00084814	0.000464933	0.000396319	0	0	0	0.000402881	0	0	0.000274564	0.000168453	0	0	0	0	0.000537705	0.000188979	0	0	0.000132442	0	0.003449161	0.000939973	0.000124951	0.000111888	0.001746308	0.001141145	0	0	0
beta-lactam__CARB-7	0	0	0	0	0	0	0	0	0	0.000354912	0.000359394	0.000311435	0.000446111	0	0	0.000512882	0.0001518	0.006997157	0.003254529	0	0	0	0	0	0	0.000154903	0.000137282	0.002021434	0.000814104	0	0	0	0	0	0	0	0	0	0	0	0	0	3.72E-05	0	0	0	0
beta-lactam__CARB-8	0	0	0	0	0	0	0	0	0	0	0	0	0.001478196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.77E-05	6.09E-05	0	0	0	0	0.000212771	7.57E-05	0	0	7.18E-05	0.000183809	0	0	0
beta-lactam__CARB-9	0	0	0	0	0	0	0	0	0	8.87E-05	0.000179697	7.79E-05	0.00025492	0	0	0.000512882	0	0.004876806	0.001859731	0.000132106	0	0	0	0	0	0.000154903	0	0.000842264	0.001302567	0	0	0.000454749	0	0	0	0	0	0	0	0	0	0	7.43E-05	0	0	0	0
beta-lactam__CAZ-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CAZ-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CAZ-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CFE-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.23E-05	0	0	0	0	0
beta-lactam__CGB-1	0	0	0.000718039	0	0.000254839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-1	0	0	0	0	0	0	0	0	0	0	0	5.87E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.11E-05	0.00014043	0.000383377	0	0	0
beta-lactam__CMY-102	0	0	0	0	0	0	0	0	0	0	0	0	4.82E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.81E-05	9.58E-05	0	0	0
beta-lactam__CMY-103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.62E-05	4.79E-05	0	0	0
beta-lactam__CMY-11	0	0	0.000454883	0	0	0	0.000154083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.77E-05	0	0	2.11E-05	0.000196602	0.000335455	0	0	0
