ARGs abundance normalization aganist 16S	STAS	SWHAS104	22_MC_Drinkingwater_source_90.100	23_MC_Drinkingwater_tap_90.100	49_Drinkingwater_influent_winter_90.100	50_Drinkingwater_effluent_winter_90.100	51_Drinkingwater_influent_summer_90.100	52_Drinkingwater_influent_summer_90.100	53_Drinkingwater_effluent_summer_90.100	30_ST_effluent_summer_90.100	31_ST_effluent_winter_90.100	32_ST_influent_summer_90.100	33_ST_influent_winter_90.100	13_ST_ADS_90.100	14_SWT_ADS_90.100	1_ST_AS_0707_90.100	2_ST_AS_0801_90.100	37_ST_AS_foaming_90.100	38_ST_AS_foaming_control_90.100	4_ST_AS_0901_90.100	54_Stanley_AS_90.100	55_Stanley_AS_90.100	56_ST_ADS_March_90.100	57_SWH_ADS_March_90.100	58_SWH_ADS_March_90.100	5_ST_AS_0907_90.100	6_ST_AS_1001_90.100	7_ST_AS_1007_90.100	8_ST_AS_1101_90.100	24_Sediment_fishpond_LWT_90.100	25_Sediment_fishpond_ST_90.100	26_Sediment_fishpond_YTT_90.100	ARG_72_90.100	ARG_73_90.10	ARG_74_90.100	ARG_75_90.100	ARG_76_90.100	ARG_77_90.100	ARG_78_90.100	ARG_79_90.100	ARG_80_90.100	ARG_81_90.100	ARG_82_90.100	ARG_83_90.100	Ocean_1_1_90-100	Ocean_1_2_90-100	Ocean_1_3_90-100
aminoglycoside__aadE	0	0	0	0	0	0	0	0	0	0.000371441	0.000610124	0.004121161	0.008154429	0.00071425	0.005863361	0.000469798	0.00130302	0.000187947	0.00066072	0.001743867	0.000249176	0	0.001356414	0.009602359	0.008661103	0.000152257	0.001530685	0.000808411	0.002967666	0	0	0	0.13340172	0.125589405	0.087090369	0.096683059	0.090826242	0.102435805	0.079292755	0.01679305	0.053953092	0.033967148	0.014349158	0.012480718	0	0	0
aminoglycoside__aadK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.94E-05	0	0	0	0	0	0	0	0	5.85E-05	0	0	0	0	0	0	0	0.000140605	0.000122775	0.000172299	8.52E-05	5.18E-05	9.59E-05	4.31E-05	3.16E-05	0	2.23E-05	4.36E-05	4.95E-05	0	0	0
aminoglycoside__ant(2'')-I	0	0	0	0	0.000111378	0	0	0.000126367	0	0.000511704	9.57E-05	0.000359931	0.000241966	0	0.00050663	0.000366905	0.000323567	0	0	0.000202293	0.000165151	0	8.43E-05	0.000143639	0	0.000182247	7.39E-05	0	0.000164019	0	0	0	0.00063114	0.000469938	0.000481188	0	0	0	0.003423899	0.002044458	0.000586358	0.000582494	0.057530862	0.06856341	0	0	0
aminoglycoside__ant(3'')-Ih-aac(6')-IId	0	0	0	0	0	0	0	0	0	0	0	9.35E-05	0	0	0	0	0	0	0	0	0	0.000181158	0	6.67E-05	7.18E-05	0	0	0	0	0	0	0	1.45E-05	0	0	0	0	0	0.000105718	9.69E-05	7.67E-06	0	0.000294071	0.00025824	0	0	0
aminoglycoside__ant(4')-IIa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__ant(4')-Ia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.24E-05	0	0	0	0	0
aminoglycoside__ant(9)-I	0	0	0	0	0	0	0	0	0	8.48E-05	0	3.58E-05	8.71E-05	0	0.004618092	0	0	0	0	0.000125529	0	0	0	0.008039641	0.006868273	7.46E-05	0	0.000162181	0	0	0	0	0.004832534	0.002795627	0.002787717	0.015441277	0.013014504	0.015367962	0.023273174	0.004078818	0.001594642	0.001578887	0.004828037	0.005631439	0	0	0
aminoglycoside__aph(2'')-II	0	0	0	0	0	0	0	0	0	0	0	5.79E-05	0.000164515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008480132	0.004289667	0.002173733	0.000634086	0.000521705	0.000527824	0.000777597	6.00E-05	0	0	6.90E-05	7.06E-05	0	0	0
aminoglycoside__aph(2'')-III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.40E-05	0	2.69E-05	0	2.43E-05	0	0.006931586	0.000293248	6.96E-05	0	2.70E-05	0	0	0	0
aminoglycoside__aph(2'')-IV	0	0	0	0	0	0	0	0	0	0	0	2.88E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.13E-05	0	0	0	0	0	0	0	0
aminoglycoside__aph(2'')-Ie	0	0	0	0	0	0	0	0	0	0	0	0.000171725	2.30E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.63E-05	0.000115535	2.69E-05	2.00E-05	0	4.48E-05	0.000325012	8.94E-05	0	0	0	2.34E-05	0	0	0
aminoglycoside__aph(3''')-III	0	0	0	0	0	0	0	0	0	0.000116547	0	0.000952392	0.000959567	0.000479873	0	0.000149402	0.000263511	0	0	0.000115068	0	0	0	0.000175691	0.000126158	0	0	0	0.000143364	0	0	0	0.216018977	0.129618726	0.449500633	0.117586926	0.107740471	0.117028414	0.093054464	0.043808506	0.002154127	0.002135237	0.003331658	0.003518355	0	0	0
aminoglycoside__aph(3'')-I	0	0	0	0	0	0	0	0	0	0.005095176	0.002608363	0.056816481	0.023343017	0.004209203	0.004626082	0.012908608	0.014896935	0.006218709	0.00211597	0.00751929	0.002843311	0.002172021	0.001680177	0.003104138	0.003375605	0.006381474	0.006667503	0.006424956	0.003655149	0	0	0	0.008505738	0.00556987	0.006188947	0.000704179	0.000650455	0.000659352	0.032785296	0.031781846	0.003634406	0.005030612	0.136420514	0.151533927	0	0	0
aminoglycoside__aph(3'')-IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000418238	0
aminoglycoside__aph(3')-I	0	0	0	0	0.000102117	0	0	0	0	4.37E-05	0	0.001206454	0.001518769	0	0	0	0.000133395	0	9.88E-05	9.10E-05	0	0	0.000122163	0	0	7.02E-05	6.18E-05	0.000233661	0.00028693	0	0	0	0.00391152	0.002756635	0.002249959	0.000533509	0.000368233	0.000616686	0.019699844	0.006308535	0.002124101	0.001873956	0.020836127	0.022229557	0	0	0
aminoglycoside__aph(3')-IIb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.52E-05	0	0	0	0	0	3.04E-05	3.35E-05	1.33E-05	1.18E-05	0.001279932	0.001707693	0	0	0
aminoglycoside__aph(3')-V	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(3')-VII	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.97E-05	0	0	0	0	1.27E-05	1.65E-05	2.81E-05	0	0	0
aminoglycoside__aph(4)-I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00061142	0.000475332	0.00014476	0	4.36E-05	4.02E-05	0.00160288	0.000131575	0.000218616	0.000120617	0.000701766	0.000206254	0	0	0
aminoglycoside__aph(6)-I	0	0	0.00022626	0	0.000156002	0.001149877	0	0	0	0.003607452	0.00156495	0.051789593	0.01945565	0.005779451	0.003318418	0.009753475	0.011490189	0.00424796	0.00365926	0.005651228	0.00093556	0.002002516	0.00149373	0.00181585	0.001906255	0.004963493	0.004119799	0.006668532	0.004271227	0	0	0	0.007226002	0.004284475	0.004253992	0.000516517	0.000547238	0.000535456	0.028011887	0.025393961	0.003204331	0.003812058	0.125040457	0.132229691	0	0	0
aminoglycoside__bifunctional aminoglycoside N-acetyltransferase and aminoglycoside phosphotransferase	0	0	0	0	0	0	0	0	0	0	0	0.006336279	0.003110096	0.000519267	0.000230464	0.000493051	0.000542852	0	0	0.000284613	7.41E-05	0	4.38E-05	0	0	0.000413416	0.000364778	4.10E-05	0.000746779	0	0	0	0.037279304	0.05411886	0.022711923	0.000559294	0.000618026	0.001293079	0.021771439	0.000687649	0.030154398	0.02072376	0.005715361	0.004537764	0	0	0
aminoglycoside__rmtA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__rmtB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.49E-05	0.000100841	8.22E-05	5.60E-05	0	0	0
aminoglycoside__rmtC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__rmtD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__rmtF	0	0	0	0	0	0	0	0	0	0	0	6.69E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.72E-05	8.60E-05	7.95E-05	7.87E-05	0	0	0	0	0	0	0	0
aminoglycoside__rmtG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__streptomycin resistance protein	0	0	0	0	0	0	0	0	0	0	0	6.14E-05	4.98E-05	0	0	0	0	0	0	0	0	0	0	0.000109512	0	0	0	0	0	0	0	0	0.000357746	1.00E-04	0.000116697	0	0	0	0.00270485	3.18E-05	0.000239178	6.73E-05	0.001565502	0.001296911	0	0	0
aminoglycoside__streptothricin acetyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000129287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__tunicamycin resistance protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__viomycin phosphotransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.06E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacitracin__bacA	0.00399651142508285	0.00387194462470258	0.023567262	0.016060178	0.036433032	0.004863099	0.034913461	0.03035302	0.001914069	0.0068903	0.017534086	0.037672314	0.035869433	0.012987014	0.016545396	0.033138784	0.032904707	0.033618075	0.041467929	0.028584173	0.043015266	0.042403544	0.011686177	0.018073441	0.018232576	0.029014812	0.023274738	0.023734688	0.02781839	0.001598947	0.030479578	0.002002235	0.013092721	0.019500917	0.010478322	0.013155467	0.012312217	0.012368839	0.020232905	0.030765015	0.010477265	0.009079383	0.051099829	0.058155141	0.008954524	0.011296957	0.022534403
bacitracin__bcrA	0	0	0.001351227	0	0.005761365	9.40E-05	0.003143246	0.004785693	0	0.000394476	0.00080118	0.002237593	0.003344209	0.001650004	0.001087001	0.001712573	0.002300983	0.003245458	0.002434864	0.001960903	0.001941099	0.002014292	0.001222318	0.000996767	0.001447011	0.002912107	0.00251633	0.003536081	0.002621618	0.000882714	0.002796672	0.003999613	0.00310177	0.002622101	0.001179578	0.00159563	0.001273513	0.001281469	0.001587187	0.000600247	0.00604814	0.004890068	0.001667307	0.000803802	0.00037737	0.00352952	0.006317801
bacitracin__bcrC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-13	0	0	0	0	0	0	0	0	0	0	0	4.55E-05	7.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-16	0	0	0	0	0	0	0	0	0	0	0	0	3.70E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-20	0	0	0	0	0	0	0	0	0	0	0	2.27E-05	0.000110663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-5	0	0	0	0	0	0	0	0	0	0	0	2.27E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__AER-1	0	0	0	0	0	0	0	0	0	0.000371109	0.000135369	0.000569873	0.000184924	0	0.000551437	0	0	0.000321516	0.000176119	0	0	0.000275909	0	0.000507935	0.0002187	0	0	6.46E-05	0.0001245	0	0	0	0	0	0	0	2.44E-05	0	0.001274679	0.002863223	2.34E-05	0	0	0	0	0	0
beta-lactam__BEL-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000125468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__BEL-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CARB-12	0	0	0	0	0	0	0	0	0	3.56E-05	7.14E-05	0.00036092	0.000683193	0	0	6.85E-05	0	0.000169689	0	0.000105479	0	0	0	5.36E-05	0	0	0.000165463	0	0	0	0	0	4.67E-05	2.45E-05	2.86E-05	0	0	0	0.00041073	0.000249261	1.23E-05	1.10E-05	0.000143261	0.000195368	0	0	0
beta-lactam__CARB-3	0	0	0	0	0	0	0	0	0	6.75E-05	0	2.85E-05	0.000115578	0	0	0	5.72E-05	0	8.81E-05	0	0	0	0	0	0	0	5.23E-05	0	0	0	0	0	0	0	0	0	0	0	0.000241518	5.90E-05	0	0	8.14E-05	9.25E-05	0	0	0
beta-lactam__CARB-5	0	0	0	0	0	0	0	0	0	0	0	0.000261606	0.001839315	0.000212561	0	0	0	0	0	0.00010194	0	0	7.04E-05	5.18E-05	5.58E-05	0	0.000106607	0	0.000127007	0	0	0	0.0002934	9.46E-05	0.000110432	0	0	0	0.000355883	0	0	0	0.00020768	0.000330421	0	0	0
beta-lactam__CARB-6	0	0	0	0	0	0	0	0	0	3.56E-05	0.00028578	0.00036092	0.000707592	0	0	0	0	0.000339378	0.000185903	0.000210958	0	0	0	0.000160846	0	0	0.000110308	6.81E-05	0.000197126	0	0	0	0.000210176	7.34E-05	0	0	5.16E-05	0	0.001331331	0.000373892	4.93E-05	4.39E-05	0.00068765	0.000463999	0	0	0
beta-lactam__CARB-7	0	0	0	0	0	0	0	0	0	0.000142446	0.00014289	0.000240613	0.000439195	0	0	0.000205428	6.04E-05	0.002884713	0.001301324	0.000105479	0	0	0	0	0	6.26E-05	0.000220617	0.0008858	0.000525669	0	0	0	0	0	0	0	0	0	0	0	0	0	2.87E-05	0	0	0	0
beta-lactam__CARB-8	0	0	0	0	0	0	0	0	0	0	0	0	0.000518781	0	0	0	0	0	0	0	0	0	0	0	0	0	5.33E-05	0	0	0	0	0	2.26E-05	2.36E-05	0	0	0	0	6.84E-05	3.01E-05	0	0	1.38E-05	2.36E-05	0	0	0
beta-lactam__CARB-9	0	0	0	0	0	0	0	0	0	3.56E-05	7.14E-05	6.02E-05	0.000487995	0	0	0.000205428	0	0.001951423	0.000743614	5.27E-05	0	0	0	0	0	6.26E-05	0	0.000340692	0.000591377	0	0	0.000186631	0	0	0	0	0	0	0	0	0	0	2.87E-05	4.88E-05	0	0	0
beta-lactam__CAZ-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CAZ-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CAZ-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CFE-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66E-05	3.25E-05	1.85E-05	0	0	0
beta-lactam__CGB-1	0	0	0.000574065	0	0.000197904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.33E-05	5.54E-05	0	0	0
beta-lactam__CMY-103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.17E-05	1.85E-05	0	0	0
